City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Nizwa,OM,22.93,57.53,82.89,79,92,6.58,light rain
275,Kimbe,PG,-5.55,150.14,76.66,89,83,2.35,broken clouds
276,Ginir,ET,7.13,40.70,57.85,81,100,8.48,light rain
277,Mount Gambier,AU,-37.83,140.77,39.09,84,2,5.26,clear sky
278,Mikuni,JP,36.22,136.15,71.51,82,90,2.93,overcast clouds
279,Kampene,CD,-3.60,26.67,75.83,46,46,2.39,scattered clouds
280,Byron Bay,AU,-28.65,153.62,55.94,74,100,16.2,overcast clouds
281,Katsuura,JP,35.13,140.30,77.74,84,60,7.94,broken clouds
282,Tarpon Springs,US,28.15,-82.76,94.06,69,0,10.0,clear sky
283,Maua,BR,-23.67,-46.46,67.8,88,71,6.69,broken clouds
284,Marsaxlokk,MT,35.84,14.54,82.08,69,0,3.44,clear sky
285,Tautira,PF,-17.73,-149.15,76.24,73,0,10.36,light rain
286,Komsomolskiy,UZ,40.43,71.72,81.32,34,0,6.91,clear sky
287,Bandar-E Lengeh,IR,26.56,54.88,91.87,68,64,8.46,broken clouds
288,Broome,US,42.25,-75.83,93.45,52,24,8.01,few clouds
289,Arman,RU,59.70,150.17,60.19,81,16,0.69,few clouds
290,Dorchester,US,33.10,-80.38,84.29,94,40,0.0,light rain
291,Pathanamthitta,IN,9.27,76.78,77.74,97,100,3.15,overcast clouds
292,Bengkulu,ID,-3.80,102.27,75.81,90,63,2.95,broken clouds
293,Nanortalik,GL,60.14,-45.24,52.07,80,15,13.82,few clouds
294,Madang,PG,-5.22,145.80,75.47,92,99,3.53,overcast clouds
295,Kaya,BF,13.09,-1.08,81.79,65,98,8.48,overcast clouds
296,Hovd,MN,48.01,91.64,55.2,56,7,3.8,clear sky
297,Lewisporte,CA,49.25,-55.05,67.71,95,100,14.5,overcast clouds
298,Vostok,RU,46.49,135.88,61.11,97,12,2.01,few clouds
299,Uong Bi,VN,21.03,106.78,80.58,91,95,3.87,light rain
300,Menongue,AO,-14.66,17.69,52.81,44,22,4.21,few clouds
301,Bilma,NE,18.69,12.92,94.66,14,72,3.76,broken clouds
302,Klaksvik,FO,62.23,-6.59,49.12,91,98,19.15,overcast clouds
303,Rocha,UY,-34.48,-54.33,59.63,80,1,9.62,clear sky
304,Kenai,US,60.55,-151.26,59.09,82,100,9.22,overcast clouds
305,Prokuplje,RS,43.23,21.59,76.28,45,0,3.33,clear sky
306,Celestun,MX,20.87,-90.40,88.05,64,7,20.27,clear sky
307,Taoudenni,ML,22.68,-3.98,94.91,35,56,20.71,broken clouds
308,Worcester,US,42.33,-71.83,93.99,54,0,9.22,clear sky
309,Karaton,ID,-6.34,106.10,72.14,94,29,1.99,scattered clouds
310,Dicabisagan,PH,17.08,122.42,79.2,89,76,2.98,broken clouds
311,Yangcun,CN,39.36,117.06,73.38,91,1,2.77,clear sky
312,Parabel,RU,58.70,81.48,60.12,72,100,4.14,overcast clouds
313,Kahului,US,20.89,-156.47,81.97,78,40,20.71,scattered clouds
314,Alice Springs,AU,-23.70,133.88,33.35,75,0,0.0,clear sky
315,Richards Bay,ZA,-28.78,32.04,63.16,89,12,6.51,few clouds
316,The Valley,AI,18.22,-63.06,86.83,74,40,18.41,scattered clouds
317,Souillac,MU,-20.52,57.52,68.38,73,75,12.66,light rain
318,Pomabamba,PE,-8.83,-77.47,62.35,30,13,5.79,few clouds
319,Marzuq,YE,14.40,46.47,78.51,57,100,5.32,overcast clouds
320,Puerto Escondido,MX,15.85,-97.07,90.43,55,40,6.91,scattered clouds
321,Andenes,NO,69.31,16.12,58.98,88,75,6.91,broken clouds
322,Masunga,BW,-20.62,27.45,54.5,62,13,6.93,few clouds
323,Kovur,IN,14.48,79.98,84.65,67,50,7.43,scattered clouds
324,Lazaro Cardenas,MX,17.96,-102.20,86.9,70,6,10.54,clear sky
325,Port Blair,IN,11.67,92.75,78.84,94,100,1.14,mist
326,Gizo,SB,-8.10,156.84,81.45,74,89,5.59,overcast clouds
327,Paoua,CF,7.24,16.44,68.85,96,95,1.34,overcast clouds
328,Edd,ER,13.93,41.69,91.83,48,100,6.44,overcast clouds
329,Kloulklubed,PW,7.04,134.26,73.9,73,67,1.61,broken clouds
330,Ballitoville,ZA,-29.54,31.21,61.25,94,0,2.3,clear sky
331,Rio Gallegos,AR,-51.62,-69.22,34.74,68,100,35.84,overcast clouds
332,Grindavik,IS,63.84,-22.43,51.75,87,40,17.27,scattered clouds
333,Omboue,GA,-1.57,9.26,71.74,88,74,6.78,broken clouds
334,Kasangulu,CD,-4.59,15.17,69.94,79,7,3.83,clear sky
335,Shangqiu,CN,34.45,115.65,70.23,97,37,5.1,scattered clouds
336,Kumluca,TR,36.37,30.29,83.59,41,0,7.25,clear sky
337,Irbeyskoye,RU,55.64,95.45,52.05,91,48,3.22,scattered clouds
338,Ergani,TR,38.27,39.76,79.9,18,0,4.92,clear sky
339,Saint-Pierre,RE,-21.34,55.48,67.68,65,0,13.8,clear sky
340,Wuwei,CN,37.93,102.64,67.51,48,77,18.16,broken clouds
341,Sfantu Gheorghe,RO,45.87,25.78,69.26,61,4,1.03,clear sky
342,Pemangkat,ID,1.17,108.97,78.69,86,9,3.22,clear sky
343,Ostersund,SE,63.18,14.64,73.85,49,75,8.05,broken clouds
344,Petukhovo,RU,55.07,67.90,63.41,93,90,11.27,overcast clouds
345,Belmonte,BR,-15.86,-38.88,72.5,78,3,8.93,clear sky
346,Portland,US,45.52,-122.68,89.53,46,0,9.22,clear sky
347,Adrar,MR,20.50,-10.07,95.85,18,19,11.54,few clouds
348,Am Timan,TD,11.03,20.28,75.27,84,96,4.45,overcast clouds
349,Okha,RU,53.57,142.95,56.73,93,100,10.74,overcast clouds
350,Santa Ana,US,33.75,-117.87,100.87,46,75,11.5,broken clouds
351,Amreli,IN,21.62,71.23,78.03,87,77,11.39,broken clouds
352,Jaroslaw,PL,50.02,22.68,71.51,77,0,5.59,clear sky
353,Yulara,AU,-25.24,130.99,44.83,52,7,10.36,clear sky
354,Hambantota,LK,6.12,81.12,78.35,85,98,17.6,overcast clouds
355,Vanavara,RU,60.34,102.28,51.64,96,59,4.63,broken clouds
356,Villarrica,PY,-25.75,-56.43,74.23,71,6,5.66,clear sky
357,Athenry,IE,53.30,-8.74,56.97,74,100,5.08,overcast clouds
358,Valparaiso,CL,-33.04,-71.63,62.83,58,0,10.36,clear sky
359,Athabasca,CA,54.72,-113.29,73.81,37,12,13.65,few clouds
360,Ust-Tsilma,RU,65.44,52.15,60.49,73,23,5.19,few clouds
